time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-25 00:00:00+00:00,7,5,1.0,1.0
2025-02-26 00:00:00+00:00,9,5,1.0,1.0
2025-02-27 00:00:00+00:00,6,3,11.0,3.0
2025-02-28 00:00:00+00:00,3,3,,
2025-03-01 00:00:00+00:00,5,4,,
2025-03-02 00:00:00+00:00,8,4,,
2025-03-03 00:00:00+00:00,17,12,,
2025-03-04 00:00:00+00:00,4,3,,
2025-03-05 00:00:00+00:00,5,3,20.0,2.0
2025-03-06 00:00:00+00:00,3,3,15.0,4.0
2025-03-07 00:00:00+00:00,1,1,67.0,3.0
2025-03-08 00:00:00+00:00,5,2,,
2025-03-09 00:00:00+00:00,1,1,1.0,1.0
2025-03-10 00:00:00+00:00,1,1,1.0,1.0
