time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-25 00:00:00+00:00,21,7,1,1
2026-05-26 00:00:00+00:00,28,9,0,0
2026-05-27 00:00:00+00:00,16,7,1,1
2026-05-28 00:00:00+00:00,23,9,0,0
2026-05-29 00:00:00+00:00,22,8,2,1
2026-05-30 00:00:00+00:00,23,9,1,1
2026-05-31 00:00:00+00:00,18,7,1,1
2026-06-01 00:00:00+00:00,10,4,1,1
2026-06-02 00:00:00+00:00,21,11,1,1
2026-06-03 00:00:00+00:00,2,2,0,0
2026-06-04 00:00:00+00:00,7,3,0,0
2026-06-05 00:00:00+00:00,17,11,1,1
2026-06-06 00:00:00+00:00,24,10,4,2
2026-06-07 00:00:00+00:00,16,6,4,4
