time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-26 00:00:00+00:00,5,3,21.0,3.0
2025-09-27 00:00:00+00:00,1,1,4.0,1.0
2025-09-28 00:00:00+00:00,1,1,,
2025-09-29 00:00:00+00:00,1,1,6.0,2.0
2025-09-30 00:00:00+00:00,7,7,5.0,2.0
2025-10-01 00:00:00+00:00,5,5,,
2025-10-02 00:00:00+00:00,26,6,13.0,1.0
2025-10-03 00:00:00+00:00,5,4,5.0,2.0
2025-10-04 00:00:00+00:00,2,2,,
2025-10-05 00:00:00+00:00,5,5,,
2025-10-06 00:00:00+00:00,9,8,12.0,2.0
2025-10-07 00:00:00+00:00,2,2,1.0,1.0
2025-10-08 00:00:00+00:00,20,7,5.0,2.0
2025-10-09 00:00:00+00:00,2,2,3.0,2.0
